column_name,description,raw_output
Id,A unique identifier for each property in the dataset.,Id: A unique identifier for each property in the dataset.
MSSubClass,"A numerical code representing the class of the property, indicating its type or design.","MSSubClass: A numerical code representing the class of the property, indicating its type or design."
MSZoning,"A categorical variable denoting the zoning classification of the property, such as 'RL' for residential.","MSZoning: A categorical variable denoting the zoning classification of the property, such as 'RL' for residential."
LotFrontage,"The linear measurement of the property’s front lot, expressed in feet.","LotFrontage: The linear measurement of the property’s front lot, expressed in feet."
LotArea,"The total area of the lot in square feet, revealing property size.","LotArea: The total area of the lot in square feet, revealing property size."
Street,"Indicates the surface type of the street, with 'Pave' suggesting paved roads.","Street: Indicates the surface type of the street, with 'Pave' suggesting paved roads."
Alley,"Describes the presence and surface of any back alleys, with example values showing 'Pave'.","Alley: Describes the presence and surface of any back alleys, with example values showing 'Pave'."
LotShape,"A classification of the shape of the lot, such as 'Reg' for regular or 'IR1' for irregular shapes.","LotShape: A classification of the shape of the lot, such as 'Reg' for regular or 'IR1' for irregular shapes."
LandContour,"Represents the topography of the land, with 'Lvl' indicating a level lot.","LandContour: Represents the topography of the land, with 'Lvl' indicating a level lot."
Utilities,"Indicates the type of utilities available to the property, with 'AllPub' meaning all public utilities are present.","Utilities: Indicates the type of utilities available to the property, with 'AllPub' meaning all public utilities are present."
LotConfig,"A categorical variable depicting how the lot is configured, such as 'Inside' for interior lots or 'Corner' for corner lots.","LotConfig: A categorical variable depicting how the lot is configured, such as 'Inside' for interior lots or 'Corner' for corner lots."
LandSlope,"A descriptor of the property's slope, with 'Gtl' indicating a gentle slope.","LandSlope: A descriptor of the property's slope, with 'Gtl' indicating a gentle slope."
Neighborhood,"This column indicates the neighborhood classification of a property, with example values like 'CollgCr' and 'Crawfor' representing specific areas.","Neighborhood: This column indicates the neighborhood classification of a property, with example values like 'CollgCr' and 'Crawfor' representing specific areas."
Condition1,"This column captures the general condition of the property at the time of sale, with common values such as 'Norm' indicating normal conditions.","Condition1: This column captures the general condition of the property at the time of sale, with common values such as 'Norm' indicating normal conditions."
Condition2,"Similar to Condition1, this column provides an additional aspect of property condition, with 'Norm' being a prevalent value.","Condition2: Similar to Condition1, this column provides an additional aspect of property condition, with 'Norm' being a prevalent value."
BldgType,"This column specifies the type of building, primarily showing '1Fam' for single-family homes in the examples.","BldgType: This column specifies the type of building, primarily showing '1Fam' for single-family homes in the examples."
HouseStyle,"This column describes the architectural style of the house, with examples such as '2Story' indicating a two-story structure.","HouseStyle: This column describes the architectural style of the house, with examples such as '2Story' indicating a two-story structure."
OverallQual,"This column represents the overall quality rating of the house on a scale, with numerical values like '7' and '8' indicating higher quality.","OverallQual: This column represents the overall quality rating of the house on a scale, with numerical values like '7' and '8' indicating higher quality."
